description,industry,level,size,line_code,value,Unit,footnotes
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Computer systems design,2,total,D0201.03,6,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Other professional scientific,2,total,D0201.03,108,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Administrative & support services,1,total,D0201.03,111,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Education & training,1,total,D0201.03,36,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Health care & social assistance,1,total,D0201.03,15,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Arts & recreation services,1,total,D0201.03,33,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,Other services,1,total,D0201.03,48,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a lot,total,0,total,D0201.03,1866,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,total,0,6–19 employees,D0201.04,5016,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,total,0,20–49 employees,D0201.04,906,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,total,0,50–99 employees,D0201.04,231,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,total,0,100+ employees,D0201.04,237,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,"Agriculture, forestry, & fishing",1,total,D0201.04,570,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,Agriculture,2,total,D0201.04,387,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,Commercial fishing,2,total,D0201.04,3,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,Forestry & logging,2,total,D0201.04,36,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,"Agriculture, forestry, & fishing support services",2,total,D0201.04,144,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,Mining,1,total,D0201.04,9,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,Manufacturing,1,total,D0201.04,696,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,"Food, beverage, & tobacco",2,total,D0201.04,168,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,"Textile, clothing, footwear, & leather",2,total,D0201.04,42,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,Wood & paper product,2,total,D0201.04,42,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,"Printing, publishing, & recorded media",2,total,D0201.04,27,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,"Petroleum, coal, chemical, & associated product",2,total,D0201.04,57,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: don't know,Non-metallic mineral product,2,total,D0201.04,18,Number of businesses,1 and 2 and 3 and 6
